 Ampara, Dehiattakandiya
 Ampara, Padiyathalawa
 Ampara, Mahaoya
 Ampara, Uhana
 Ampara, Ampara
 Ampara, Navithanveli
 Ampara, Sammanthurai
 Ampara, Kalmunai Tamil Division
 Ampara, Kalmunai
 Ampara, Sainthamarathu
 Ampara, Karaitheevu
 Ampara, Ninthavur
 Ampara, Addalaichchenai
 Ampara, Irakkamam
 Ampara, Akkaraipattu
 Ampara, Alayadiwembu
 Ampara, Damana
 Ampara, Thirukkovil
 Ampara, Pottuvil
 Ampara, Lahugala
 Anuradhapura, Padaviya
 Anuradhapura, Kebithigollewa
 Anuradhapura, Medawachchiya
 Anuradhapura, Mahawilachchiya
 Anuradhapura, Nuwaragam Palatha Central
 Anuradhapura, Rambewa
 Anuradhapura, Kahatagasdigiliya
 Anuradhapura, Horowpothana
 Anuradhapura, Galenbindunuwewa
 Anuradhapura, Mihinthale
 Anuradhapura, Nuwaragam Palatha East
 Anuradhapura, Nachchaduwa
 Anuradhapura, Nochchiyagama
 Anuradhapura, Rajanganaya
 Anuradhapura, Thambuttegama
 Anuradhapura, Thalawa
 Anuradhapura, Thirappane
 Anuradhapura, Kekirawa
 Anuradhapura, Palugaswewa
 Anuradhapura, Ipalogama
 Anuradhapura, Galnewa
 Anuradhapura, Palagala
 Badulla, Mahiyanganaya
 Badulla, Rideemaliyadda
 Badulla, Meegahakivula
 Badulla, Kandaketiya
 Badulla, Soranathota
 Badulla, Passara
 Badulla, Lunugala
 Badulla, Badulla
 Badulla, Hali-Ela
 Badulla, Uva Paranagama
 Badulla, Welimada
 Badulla, Bandarawela
 Badulla, Ella
 Badulla, Haputale
 Badulla, Haldummulla
 Batticaloa, Koralai Pattu North (Vaharai)
 Batticaloa, Koralai Pattu Central
 Batticaloa, Koralai Pattu West (Oddamavadi)
 Batticaloa, Koralai Pattu (Valachchenai)
 Batticaloa, Koralai Pattu South (Kiran)
 Batticaloa, Eravur Pattu
 Batticaloa, Eravur Town
 Batticaloa, Manmunai North
 Batticaloa, Manmunai West
 Batticaloa, Kattankudy
